key,company,title,bucket,location,comp,posted,age\_days,score,new,url  
ashby:bestow:95eeb140-80af-4c25-b7b1-b1a2b2f19175,Bestow,"Performance Lead, Customer Experience",CS,"Remote, US; Dallas, TX; Remote","$60K – $70K • Offers Equity • Starting compensation may vary based on geographic location, work experience, and skills.",2026-07-27,39,68,NEW,https://jobs.ashbyhq.com/bestow/95eeb140-80af-4c25-b7b1-b1a2b2f19175  
gh:garnerhealth:6139197004,Garner Health,Enterprise Business Development Representative,SDR/BDR,Remote,,2026-08-07,28,68,NEW,https://job-boards.greenhouse.io/garnerhealth/jobs/6139197004  
gh:garnerhealth:6139836004,Garner Health,GTM Enablement Manager,GTM Ops,Remote,,2026-08-13,22,68,NEW,https://job-boards.greenhouse.io/garnerhealth/jobs/6139836004  
gh:garnerhealth:6139170004,Garner Health,Manager of Business Development,SDR/BDR,Remote,,2026-08-07,28,68,NEW,https://job-boards.greenhouse.io/garnerhealth/jobs/6139170004  
gh:mavenclinic:8620831002,Maven Clinic,Revenue Operations Manager (Payments and Reconciliation),RevOps,"New York, NY; Remote, US (Hub cities)",,2026-07-06,60,68,NEW,https://job-boards.greenhouse.io/mavenclinic/jobs/8620831002  
gh:mavenclinic:8726965002,Maven Clinic,Sales Development Representative,SDR/BDR,Remote,,2026-08-18,17,68,NEW,https://job-boards.greenhouse.io/mavenclinic/jobs/8726965002  
ashby:notable:5eec7409-19b2-4fea-9cce-424122438394,Notable,Customer Success Lead,CS,"Chicago, IL; Dallas Forth Worth Metro Area, TX; Nashville, TN; Minneapolis, MN; St. Louis, MO; Houston Metro Area, TX; Kansas City, MO; Cleveland, OH; Remote",$136K – $170K • Offers Equity • Offers Bonus • Annual Bonus up to 15% of base,2026-07-13,53,68,NEW,https://jobs.ashbyhq.com/notable/5eec7409-19b2-4fea-9cce-424122438394  
lever:pointclickcare:2123a700-c912-42d6-85ff-ec7e264c2a77,PointClickCare,(US) Regional Named Account Executive - Northeast,AE,"Remote, USA remote",$189-210K,2026-07-23,43,67,NEW,https://jobs.lever.co/pointclickcare/2123a700-c912-42d6-85ff-ec7e264c2a77  
ashby:color-health:8179a89c-8c62-4caf-84b1-f9f2b95a09f6,Color Health,Billing Implementation Specialist,Implementation,"South San Francisco, California; Remote, USA; Remote",,2026-08-27,8,66,NEW,https://jobs.ashbyhq.com/color-health/8179a89c-8c62-4caf-84b1-f9f2b95a09f6  
gh:elationhealth:8128196,Elation Health,Enterprise Customer Success Manager,CS,US- Remote,,2026-08-13,22,66,NEW,https://www.elationhealth.com/about-us/careers?gh\_jid=8128196  
lever:includedhealth:6a5a34b7-9297-4d3d-97e7-a8025356fa47,Included Health,Client Success Portfolio Manager,CS,Remote remote,,2026-09-03,1,66,NEW,https://jobs.lever.co/includedhealth/6a5a34b7-9297-4d3d-97e7-a8025356fa47  
ashby:virtahealth:c634ae20-8a13-464a-9e57-2b4e63bb4379,Virta Health,"Client Success Manager, Labor & Multi Employer Funds",CS,Remote; Remote,$99.5K – $128.5K • Offers Equity,2026-08-18,17,66,NEW,https://jobs.ashbyhq.com/virtahealth/c634ae20-8a13-464a-9e57-2b4e63bb4379  
ashby:1password:4575bf10-78eb-40ab-b204-dc6b5a84c3b9,1Password,Business Development Representative,SDR/BDR,"Toronto, ON; Austin, TX; Remote",,2026-08-19,16,65,NEW,https://jobs.ashbyhq.com/1password/4575bf10-78eb-40ab-b204-dc6b5a84c3b9  
gh:airtable:8626638002,Airtable,"Manager, Business Development Representatives",SDR/BDR,"Austin, TX",,2026-07-09,57,65,NEW,https://job-boards.greenhouse.io/airtable/jobs/8626638002  
gh:apolloio:6146762004,Apollo.io,Business Development Representative,SDR/BDR,"Hybrid, Austin",,2026-08-18,17,65,NEW,https://job-boards.greenhouse.io/apolloio/jobs/6146762004  
lever:arcadia:529edd7b-5e37-4d8c-9b91-c48776764e70,Arcadia,Business Development Representative,SDR/BDR,"Boston, DC, Remote remote",$72-100K,2026-08-14,21,65,NEW,https://jobs.lever.co/arcadia/529edd7b-5e37-4d8c-9b91-c48776764e70  
ashby:commure:aeb8851c-87d7-40a3-acaf-14a26d3a34ed,Commure,Enterprise Sales Development Representative,SDR/BDR,San Francisco Bay Area or Remote,$63K – $70K • Offers Commission,2026-08-07,28,65,NEW,https://jobs.ashbyhq.com/commure/aeb8851c-87d7-40a3-acaf-14a26d3a34ed  
ashby:commure:63009d78-866f-43e0-84a8-033b93892b6f,Commure,"Sales Development Representative, Agents",SDR/BDR,"Mountain View, CA; New York City, NY; San Francisco, CA; Remote",$63K – $70K • Offers Commission,2026-08-13,22,65,NEW,https://jobs.ashbyhq.com/commure/63009d78-866f-43e0-84a8-033b93892b6f  
ashby:headway:4e826c00-570b-4349-956c-c9ac35c2a637,Headway,"Business Development Associate, Care Partnerships",SDR/BDR,Remote; Remote,$70K – $77K • Offers Equity • Offers Commission,2026-07-14,52,65,NEW,https://jobs.ashbyhq.com/headway/4e826c00-570b-4349-956c-c9ac35c2a637  
ashby:headway:3433bad6-2ae5-4451-9433-3a12b6f586e0,Headway,Revenue Operations Manager (Process),RevOps,Remote - New York; Remote,$121.6K – $190K • Offers Equity,2026-08-12,23,65,NEW,https://jobs.ashbyhq.com/headway/3433bad6-2ae5-4451-9433-3a12b6f586e0  
ashby:headway:ae5b6ddc-14b2-4fa0-9e87-bcc0a5474c13,Headway,"Business Development Lead, Care Partnerships",SDR/BDR,Remote; Remote,"$111,520 – $164,000 • Offers Commission",2026-08-27,8,65,NEW,https://jobs.ashbyhq.com/headway/ae5b6ddc-14b2-4fa0-9e87-bcc0a5474c13  
ashby:orum:82c9d29e-378f-4618-99cb-0661fe25e578,Orum,Enterprise Sales Development Representative,SDR/BDR,"Austin, TX; Remote",,2026-07-30,36,65,NEW,https://jobs.ashbyhq.com/orum/82c9d29e-378f-4618-99cb-0661fe25e578  
lever:outreach:1ec537cb-d3fc-42ed-bb0e-15264ecf7446,Outreach,"Manager, Customer Operations (Revenue Operations)",RevOps,United States remote,$120-155K,2026-07-30,36,65,NEW,https://jobs.lever.co/outreach/1ec537cb-d3fc-42ed-bb0e-15264ecf7446  
ashby:plaid:265a7e77-e6c0-4d04-ac35-23b86d21f810,Plaid,Sales Development Representative,SDR/BDR,New York City Office; Raleigh Office; San Francisco HQ; Remote,"$91,995 – $106,971 • Offers Equity • Offers Commission • Multiple Ranges",2026-07-06,60,65,NEW,https://jobs.ashbyhq.com/plaid/265a7e77-e6c0-4d04-ac35-23b86d21f810  
ashby:plaid:b93abf51-f064-4923-ada8-7cc78c8939e8,Plaid,Business Development Representative - Enterprise,SDR/BDR,New York City Office; Raleigh Office; San Francisco HQ; Remote,"$91,995 – $106,971 • Offers Equity • Offers Commission • Multiple Ranges",2026-07-08,58,65,NEW,https://jobs.ashbyhq.com/plaid/b93abf51-f064-4923-ada8-7cc78c8939e8  
ashby:plaid:7203c5b9-ae19-4478-84ea-85a11d438174,Plaid,Business Development Representative - Fintech,SDR/BDR,New York City Office; Raleigh Office; San Francisco HQ; Remote,"$91,995 – $106,971 • Offers Equity • Offers Commission • Multiple Ranges",2026-07-08,58,65,NEW,https://jobs.ashbyhq.com/plaid/7203c5b9-ae19-4478-84ea-85a11d438174  
ashby:plaid:f91d3207-247f-4e51-babb-24336904bb41,Plaid,Business Development Representative - Banking & Wealth,SDR/BDR,New York City Office; Raleigh Office; San Francisco HQ; Remote,"$91,995 – $106,971 • Offers Equity • Offers Commission • Multiple Ranges",2026-07-08,58,65,NEW,https://jobs.ashbyhq.com/plaid/f91d3207-247f-4e51-babb-24336904bb41  
ashby:plaid:825c434c-59fd-4e0a-b17d-878df5ee4be4,Plaid,GTM Strategic Finance,GTM Ops,New York City Office; San Francisco HQ; Remote,$162K – $202K • Offers Equity,2026-07-22,44,65,NEW,https://jobs.ashbyhq.com/plaid/825c434c-59fd-4e0a-b17d-878df5ee4be4  
ashby:plaid:c73b1d9e-e7d8-415e-bbdf-f95696a968db,Plaid,Revenue Operations Accountant,RevOps,San Francisco HQ; San Francisco HQ; Remote,$105K – $120K • Offers Equity,2026-09-01,3,65,NEW,https://jobs.ashbyhq.com/plaid/c73b1d9e-e7d8-415e-bbdf-f95696a968db  
ashby:ramp:83eec8f4-c37d-43c9-860b-27223eee3643,Ramp,"Sales Development Representative, Mid-Market",SDR/BDR,"New York, NY (HQ); Remote",$85K – $105K • Offers Equity,2026-09-03,1,65,NEW,https://jobs.ashbyhq.com/ramp/83eec8f4-c37d-43c9-860b-27223eee3643  
ashby:ramp:60d6aef5-b60d-4163-82b7-00bad89c6d3f,Ramp,"Sales Development Representative, SMB",SDR/BDR,"New York, NY (HQ); Remote",$85K – $105K • Offers Equity,2026-09-03,1,65,NEW,https://jobs.ashbyhq.com/ramp/60d6aef5-b60d-4163-82b7-00bad89c6d3f  
ashby:shiftkey:a003c667-c4d0-490f-8fa3-d130960edae5,ShiftKey,CRM & Sales Operations Specialist,RevOps,Irving; Remote,,2026-08-18,17,65,NEW,https://jobs.ashbyhq.com/shiftkey/a003c667-c4d0-490f-8fa3-d130960edae5  
ashby:snowflake:5a117e29-4c48-40d3-a5da-aba9c7fa182e,Snowflake,Startup Business Development Lead - Snowflake for Startups,SDR/BDR,US-CA-Menlo Park; Remote,$126K – $181.7K,2026-07-22,44,65,NEW,https://jobs.ashbyhq.com/snowflake/5a117e29-4c48-40d3-a5da-aba9c7fa182e  
ashby:snowflake:b22cbd8d-7f30-4699-890e-b93eb90ef4e8,Snowflake,GTM & Enablement Program Manager,GTM Ops,US-CA-Menlo Park; Remote,$133K – $174.3K,2026-07-08,58,65,NEW,https://jobs.ashbyhq.com/snowflake/b22cbd8d-7f30-4699-890e-b93eb90ef4e8  
ashby:snowflake:052ea3c1-9465-407c-8611-3a45d29c21b0,Snowflake,Business Development Lead - Snowflake for Startups,SDR/BDR,US-NY-New York; Remote,$126K – $181.7K,2026-07-17,49,65,NEW,https://jobs.ashbyhq.com/snowflake/052ea3c1-9465-407c-8611-3a45d29c21b0  
ashby:snowflake:6871df54-d22b-4417-bf49-322deea4ad29,Snowflake,Business Development & Capture - PubSec,SDR/BDR,US-DC-Remote; Remote,$144K – $189K,2026-09-01,3,65,NEW,https://jobs.ashbyhq.com/snowflake/6871df54-d22b-4417-bf49-322deea4ad29  
ashby:vanta:028c7d0b-73a6-431a-843b-2c0da068de1b,Vanta,"Sales Development Representative, Upmarket",SDR/BDR,"New York, NY; Remote","$95K – $112K • Offers Equity • This role is also eligible for medical benefits, 401(k) plan, and other company perk programs.",2026-09-01,3,65,NEW,https://jobs.ashbyhq.com/vanta/028c7d0b-73a6-431a-843b-2c0da068de1b  
ashby:vanta:a5cdc446-1fc4-40a7-8175-3f314a5c8ef2,Vanta,Sales Development Representative - Commercial + Enterprise,SDR/BDR,"San Francisco, CA; Remote","$110K • Offers Equity • This role is also eligible for medical benefits, 401(k) plan, and other company perk programs.",2026-09-01,3,65,NEW,https://jobs.ashbyhq.com/vanta/a5cdc446-1fc4-40a7-8175-3f314a5c8ef2  
ashby:vanta:bed2588e-e4b3-40df-aa3b-c5cba4f01435,Vanta,Sales Development Representative - LATAM,SDR/BDR,"New York, NY; Remote","$105K • Offers Equity • This role is also eligible for medical benefits, 401(k) plan, and other company perk programs.",2026-07-16,50,65,NEW,https://jobs.ashbyhq.com/vanta/bed2588e-e4b3-40df-aa3b-c5cba4f01435  
ashby:vanta:466a5555-83f9-47d5-b126-bae0a65893ae,Vanta,"Manager, Sales Development",SDR/BDR,"San Francisco, CA; New York, NY; Remote","$172K – $202K • Offers Equity • This role is also eligible for medical benefits, 401(k) plan, and other company perk programs.",2026-07-15,51,65,NEW,https://jobs.ashbyhq.com/vanta/466a5555-83f9-47d5-b126-bae0a65893ae  
ashby:vanta:0e82974a-0023-49a2-b1ec-a0fa89636dd5,Vanta,"GTM Strategy & Operations Analyst, Account Management",GTM Ops,Remote U.S.; Remote,"$114K – $134K • Offers Equity • This role is also eligible for medical benefits, 401(k) plan, and other company perk programs.",2026-08-28,7,65,NEW,https://jobs.ashbyhq.com/vanta/0e82974a-0023-49a2-b1ec-a0fa89636dd5  
ashby:vanta:2f2ad814-2437-46bc-8829-9413f1840db0,Vanta,"Subject Matter Expert, GTM GRC - Revenue",GTM Ops,Remote U.S.; Remote,"$171K – $201K • Offers Equity • This role is also eligible for medical benefits, 401(k) plan, and other company perk programs.",2026-09-04,0,65,NEW,https://jobs.ashbyhq.com/vanta/2f2ad814-2437-46bc-8829-9413f1840db0  
ashby:vanta:7cb1ace2-945a-4768-9ce2-a95d6b725bb8,Vanta,"Subject Matter Expert, GTM GRC - Revenue",GTM Ops,Remote U.S.; Remote,"$171K – $201K • Offers Equity • This role is also eligible for medical benefits, 401(k) plan, and other company perk programs.",2026-09-04,0,65,NEW,https://jobs.ashbyhq.com/vanta/7cb1ace2-945a-4768-9ce2-a95d6b725bb8  
gh:zscaler:5195940007,Zscaler,"Manager, Sales Development",SDR/BDR,"Dallas, Texas, USA",,2026-07-29,37,65,NEW,https://job-boards.greenhouse.io/zscaler/jobs/5195940007  
gh:zscaler:5228168007,Zscaler,Sales Development Representative,SDR/BDR,"Boston, Massachusetts, USA; Dallas, Texas, USA; Remote - North Carolina, USA",,2026-09-03,1,65,NEW,https://job-boards.greenhouse.io/zscaler/jobs/5228168007  
ashby:commure:1a54b849-041e-4643-bdc4-7853710c92ac,Commure,Enterprise Account Executive (Texas),AE,"United States; Austin, TX; Remote",$118K – $140K • $118K – $140K Commission,2026-07-27,39,64,NEW,https://jobs.ashbyhq.com/commure/1a54b849-041e-4643-bdc4-7853710c92ac  
ashby:snowflake:67efc76a-fd66-4fa8-b2a6-473baaf31249,Snowflake,"Enterprise Account Executive, Observe",AE,"Austin, TX; Detroit, MI; US-IL-Chicago-MSO; Remote","$134,000 – $175,875",2026-08-28,7,64,NEW,https://jobs.ashbyhq.com/snowflake/67efc76a-fd66-4fa8-b2a6-473baaf31249  
gh:trustedhealth:5411639008,Trusted Health,Client Account Manager,Sales,"Remote, US",,2026-09-01,3,64,NEW,https://www.trustedhealth.com/careers?gh\_jid=5411639008  
gh:apolloio:6146551004,Apollo.io,Global Revenue Onboarding Program Manager,Implementation,"Hybrid, Austin",,2026-08-19,16,63,NEW,https://job-boards.greenhouse.io/apolloio/jobs/6146551004  
lever:arcadia:facff254-78e3-4328-83f4-fd13fa7ef627,Arcadia,Enterprise Implementation Manager,Implementation,Remote remote,$100-156K,2026-08-19,16,63,NEW,https://jobs.lever.co/arcadia/facff254-78e3-4328-83f4-fd13fa7ef627  
ashby:hinge-health:d307173d-281d-4d9a-b7cf-75c3066ef09b,Hinge Health,Business Operations & Strategy Manager,BizOps,San Francisco-HQ; Remote,$137.6K – $206.4K • Offers Equity,2026-08-25,10,63,NEW,https://jobs.ashbyhq.com/hinge-health/d307173d-281d-4d9a-b7cf-75c3066ef09b  
lever:leantaas:9f0696d5-ebf7-456d-be6c-1421d5f12b80,LeanTaaS,"Manager, Clinical Workflow Implementation - iQueue for Inpatient Flow",Implementation,Remote remote,$140-170K,2026-08-19,16,63,NEW,https://jobs.lever.co/leantaas/9f0696d5-ebf7-456d-be6c-1421d5f12b80  
lever:leantaas:e5771983-c77a-4816-9b3f-4a73bab4f01b,LeanTaaS,"Product Implementation Manager, iQueue for Inpatient Flow",Implementation,Remote remote,$90-125K,2026-08-12,23,63,NEW,https://jobs.lever.co/leantaas/e5771983-c77a-4816-9b3f-4a73bab4f01b  
lever:lyrahealth:dafc21e1-f7d5-4814-89cd-d5bcf9eac1be,Lyra Health,Business Operations Coordinator - Dutch Speaking,BizOps,Leusden remote,,2026-07-30,36,63,NEW,https://jobs.lever.co/lyrahealth/dafc21e1-f7d5-4814-89cd-d5bcf9eac1be  
ashby:ramp:2ddd97a8-70b2-4030-ba42-21124ad304d3,Ramp,"Associate Manager, Premier Support (Customer Experience)",CS,"New York, NY (HQ); San Francisco, CA; Remote (US); Denver, CO; Miami, FL; Remote",$100K – $132K • Offers Equity,2026-08-11,24,63,NEW,https://jobs.ashbyhq.com/ramp/2ddd97a8-70b2-4030-ba42-21124ad304d3  
ashby:ramp:d64609dd-c391-45a2-bfdb-c1bb34e8f93c,Ramp,Customer Experience Associate,CS,"New York, NY (HQ); Remote (US); Denver, CO; Miami, FL; Remote",$60K – $70K • Offers Equity • This role will be paid hourly with a minimum hourly expectation.,2026-08-26,9,63,NEW,https://jobs.ashbyhq.com/ramp/d64609dd-c391-45a2-bfdb-c1bb34e8f93c  
ashby:ramp:6ac50530-ce1c-4375-9cc1-c56f8b5925fd,Ramp,Account Manager | Growth,Growth,"New York, NY (HQ); San Francisco, CA; Remote","$97,920 – $149,600 • Offers Commission • Multiple Ranges",2026-09-01,3,63,NEW,https://jobs.ashbyhq.com/ramp/6ac50530-ce1c-4375-9cc1-c56f8b5925fd  
ashby:snowflake:e4c75616-b76c-414a-9b59-af7bacb0d0c6,Snowflake,"Implementation Engineer, Observe",Implementation,US-NY-New York; US-NJ Metro-Remote; US-NY-Remote,$160K – $210K,2026-08-20,15,63,NEW,https://jobs.ashbyhq.com/snowflake/e4c75616-b76c-414a-9b59-af7bacb0d0c6  
ashby:truemed:b01dd944-a585-4644-808a-b74c75cbff73,Truemed,Customer Experience Lead,CS,"Los Angeles, CA or Austin, TX",,2026-08-26,9,63,NEW,https://jobs.ashbyhq.com/truemed/b01dd944-a585-4644-808a-b74c75cbff73  
ashby:vanta:72c428b2-eaf0-4fc4-8509-8616d4be1a38,Vanta,"Customer Success Manager, Commercial East",CS,Remote U.S.; Remote,"$138K – $162K • Offers Equity • This role is also eligible for medical benefits, 401(k) plan, and other company perk programs.",2026-08-13,22,63,NEW,https://jobs.ashbyhq.com/vanta/72c428b2-eaf0-4fc4-8509-8616d4be1a38  
gh:vercel:6119988004,Vercel,"Growth Marketing Manager, Discoverability ",Growth,"Hybrid - San Francisco, New York City, Austin",,2026-07-20,46,63,NEW,https://job-boards.greenhouse.io/vercel/jobs/6119988004  
gh:garnerhealth:6132250004,Garner Health,Account Executive - Central,AE,Remote,,2026-07-31,35,62,NEW,https://job-boards.greenhouse.io/garnerhealth/jobs/6132250004  
gh:garnerhealth:6132252004,Garner Health,Account Executive - Mid-Central,AE,Remote,,2026-07-31,35,62,NEW,https://job-boards.greenhouse.io/garnerhealth/jobs/6132252004  
gh:garnerhealth:6132265004,Garner Health,Account Executive - Northeast,AE,Remote,,2026-07-31,35,62,NEW,https://job-boards.greenhouse.io/garnerhealth/jobs/6132265004  
gh:garnerhealth:6132272004,Garner Health,Account Executive - Southeast,AE,Remote,,2026-07-31,35,62,NEW,https://job-boards.greenhouse.io/garnerhealth/jobs/6132272004  
gh:garnerhealth:6132277004,Garner Health,Account Executive - Southwest,AE,Remote,,2026-07-31,35,62,NEW,https://job-boards.greenhouse.io/garnerhealth/jobs/6132277004  
gh:garnerhealth:6132280004,Garner Health,Account Executive - West,AE,Remote,,2026-07-31,35,62,NEW,https://job-boards.greenhouse.io/garnerhealth/jobs/6132280004  
gh:apolloio:6110297004,Apollo.io,"Account Manager, SMB ",Sales,"Hybrid, Austin",,2026-07-06,60,61,NEW,https://job-boards.greenhouse.io/apolloio/jobs/6110297004  
ashby:gravie:34da1240-7374-41fe-88bd-0ba3dc358a73,Gravie,Account Manager,Sales,Remote; Remote,$67.5K – $100K • Offers Bonus,2026-08-31,4,61,NEW,https://jobs.ashbyhq.com/gravie/34da1240-7374-41fe-88bd-0ba3dc358a73  
ashby:headway:ff51583c-75e8-4fa2-a5d3-8f05ea6da364,Headway,"Program Manager, Talent & AI Enablement",Enablement,Remote; Remote,$115K – $179K • Offers Equity,2026-07-15,51,61,NEW,https://jobs.ashbyhq.com/headway/ff51583c-75e8-4fa2-a5d3-8f05ea6da364  
gh:humaninterest:8165299,Human Interest,Partner Account Manager - Dallas - Fort Worth,Sales,"Dallas, Texas",,2026-09-01,3,61,NEW,https://job-boards.greenhouse.io/humaninterest/jobs/8165299  
gh:humaninterest:8165307,Human Interest,Partner Account Manager - El Paso,Sales,"El Paso, Texas",,2026-08-31,4,61,NEW,https://job-boards.greenhouse.io/humaninterest/jobs/8165307  
gh:humaninterest:8165340,Human Interest,Partner Account Manager - Houston,Sales,"Houston, Texas",,2026-08-31,4,61,NEW,https://job-boards.greenhouse.io/humaninterest/jobs/8165340  
gh:humaninterest:8165348,Human Interest,Partner Account Manager - Rio Grande Valley,Sales,"Brownsville, Texas",,2026-08-31,4,61,NEW,https://job-boards.greenhouse.io/humaninterest/jobs/8165348  
gh:humaninterest:8165297,Human Interest,Partner Account Manager- West Texas,Sales,"Midland, Texas",,2026-08-31,4,61,NEW,https://job-boards.greenhouse.io/humaninterest/jobs/8165297  
ashby:medely:b287d552-26be-441e-b9b0-f09e2b1be4ca,Medely,Revenue Enablement Lead,Enablement,Remote; Remote,$126K – $140K • Offers Equity,2026-07-15,51,61,NEW,https://jobs.ashbyhq.com/medely/b287d552-26be-441e-b9b0-f09e2b1be4ca  
gh:natera:6136442004,Natera,Account Sales Representative,Sales,"Dallas, TX",,2026-08-06,29,61,NEW,https://job-boards.greenhouse.io/natera/jobs/6136442004  
lever:outreach:74733738-c32c-488a-8428-a01c5539e9e8,Outreach,Marketing Operations Specialist,Marketing Ops,United States remote,$60-90K,2026-09-01,3,61,NEW,https://jobs.lever.co/outreach/74733738-c32c-488a-8428-a01c5539e9e8  
ashby:ramp:f5cf4790-0b77-47be-b332-02ca6ec755fd,Ramp,Account Manager | Enterprise,Sales,"New York, NY (HQ); San Francisco, CA; Remote",$250K – $340K • Offers Equity • 60/40 Split,2026-08-11,24,61,NEW,https://jobs.ashbyhq.com/ramp/f5cf4790-0b77-47be-b332-02ca6ec755fd  
ashby:ramp:492823d8-9651-46cf-9d33-a632ef706879,Ramp,"Solutions Consultant, Post Sales, Mid-Market",Sales,"Remote (US); Remote (Canada); San Francisco, CA; New York, NY (HQ); Toronto, ON; Miami, FL; Remote",$151K – $231K • Offers Equity • Multiple Ranges,2026-07-07,59,61,NEW,https://jobs.ashbyhq.com/ramp/492823d8-9651-46cf-9d33-a632ef706879  
ashby:ramp:8ca5c32b-e6c7-47e3-af23-291f122fa0f8,Ramp,"Solutions Consultant, Post Sales, Commercial",Sales,"Remote (US); Remote (Canada); San Francisco, CA; New York, NY (HQ); Toronto, ON; Miami, FL; Remote",$119K – $181K • Offers Equity • Multiple Ranges,2026-07-07,59,61,NEW,https://jobs.ashbyhq.com/ramp/8ca5c32b-e6c7-47e3-af23-291f122fa0f8  
ashby:ramp:971abc99-f20b-43f0-91d6-90bcbfa2c8d9,Ramp,"Solutions Consultant, Post Sales, Enterprise",Sales,"Remote (US); Remote (Canada); San Francisco, CA; New York, NY (HQ); Toronto, ON; Miami, FL; Remote",$0 – $298K • Offers Equity • Multiple Ranges,2026-07-09,57,61,NEW,https://jobs.ashbyhq.com/ramp/971abc99-f20b-43f0-91d6-90bcbfa2c8d9  
gh:rubrik:8114370,Rubrik,Inside Sales Engineer (Remote),Sales,"Austin, TX",,2026-08-10,25,61,NEW,https://www.rubrik.com/company/careers/departments/job.8114370?gh\_jid=8114370  
ashby:snowflake:88bc9874-5ad3-4c7b-8f49-af909dd59265,Snowflake,"Marketing Operations and Demand Manager, Observe",Marketing Ops,US-CA-Menlo Park; Remote,$150K – $196.3K,2026-09-04,0,61,NEW,https://jobs.ashbyhq.com/snowflake/88bc9874-5ad3-4c7b-8f49-af909dd59265  
